Id, Applied to Schema, Applied on Date, Applied to Server, Was Executed, Succeeded, Report
patch.versionHistoryPerformance, 17000, 2023-01-23 13:18:33.916, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.webscripts, 17000, 2023-01-23 13:18:33.917, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.1-JBPMUpdate, 17000, 2023-01-23 13:18:33.919, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.1-NotNullColumns, 17000, 2023-01-23 13:18:33.92, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.groupNamesAsIdentifiers, 17000, 2023-01-23 13:18:33.922, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.invalidUserPersonAndGroup, 17000, 2023-01-23 13:18:33.923, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.webscriptsExtension, 17000, 2023-01-23 13:18:33.924, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.groupMembersAsIdentifiers, 17000, 2023-01-23 13:18:33.925, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeploySubmitProcess, 17000, 2023-01-23 13:18:33.926, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.ReadmeTemplate, 17000, 2023-01-23 13:18:33.927, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.webScriptsReadme, 17000, 2023-01-23 13:18:33.928, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.1-JBPMProcessKey, 17000, 2023-01-23 13:18:33.929, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.1-VersionColumns2, 17000, 2023-01-23 13:18:33.931, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-CleanNodeStatuses, 17000, 2023-01-23 13:18:33.932, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.webscripts2, 17000, 2023-01-23 13:18:33.934, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.customModels, 17000, 2023-01-23 13:18:33.935, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.customMessages, 17000, 2023-01-23 13:18:33.936, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.customWebClientExtension, 17000, 2023-01-23 13:18:33.937, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.webscripts3, 17000, 2023-01-23 13:18:33.939, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.customWorkflowDefs, 17000, 2023-01-23 13:18:33.941, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V1.4-TxnCommitTimeIndex, 17000, 2023-01-23 13:18:33.942, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.formsFolder, 17000, 2023-01-23 13:18:33.943, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.tagRootCategory, 17000, 2023-01-23 13:18:33.944, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-ACL-From-2.1-A, 17000, 2023-01-23 13:18:33.946, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-ACL, 17000, 2023-01-23 13:18:33.947, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-0-CreateMissingTables, 17000, 2023-01-23 13:18:33.949, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-2-MoveQNames, 17000, 2023-01-23 13:18:33.95, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.0-ContentUrls, 17000, 2023-01-23 13:18:33.952, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateDmPermissions, 17000, 2023-01-23 13:18:33.953, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.0-0-CreateActivitiesExtras, 17000, 2023-01-23 13:18:33.954, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.0-ActivityTables, 17000, 2023-01-23 13:18:33.956, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.createSiteStore, 17000, 2023-01-23 13:18:33.957, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.sitesFolder, 17000, 2023-01-23 13:18:33.958, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.sitePermissionRefactorPatch, 17000, 2023-01-23 13:18:33.96, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateVersionStore, 17000, 2023-01-23 13:18:33.961, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.inviteEmailTemplate, 17000, 2023-01-23 13:18:33.962, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.calendarNamespaceUri, 17000, 2023-01-23 13:18:33.963, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.1-AuditPathIndex, 17000, 2023-01-23 13:18:33.964, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.spacesStoreGuestPermission, 17000, 2023-01-23 13:18:33.966, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-Upgrade-From-2.1, 17000, 2023-01-23 13:18:33.968, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-Upgrade-From-2.2SP1, 17000, 2023-01-23 13:18:33.969, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.webSiteAddModerated, 17000, 2023-01-23 13:18:33.971, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.invitationMigration, 17000, 2023-01-23 13:18:33.972, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.mtShareExistingTenants, 17000, 2023-01-23 13:18:33.973, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployInvitationProcess, 17000, 2023-01-23 13:18:33.974, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-LockTables, 17000, 2023-01-23 13:18:33.976, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.zonedAuthorities, 17000, 2023-01-23 13:18:33.977, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.authorityMigration, 17000, 2023-01-23 13:18:33.979, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.authorityDefaultZonesPatch, 17000, 2023-01-23 13:18:33.98, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-ContentTables, 17000, 2023-01-23 13:18:33.981, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-Upgrade-JBPM, 17000, 2023-01-23 13:18:33.982, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-Upgrade-JBPM, 17000, 2023-01-23 13:18:33.984, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.imapFolders, 17000, 2023-01-23 13:18:33.985, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-PropertyValueTables, 17000, 2023-01-23 13:18:33.987, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-AuditTables, 17000, 2023-01-23 13:18:33.988, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V2.2-Person-3, 17000, 2023-01-23 13:18:33.989, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.1-Allow-IPv6, 17000, 2023-01-23 13:18:33.99, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.personUsagePatch, 17000, 2023-01-23 13:18:33.992, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.2-Child-Assoc-QName-CRC, 17000, 2023-01-23 13:18:33.994, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixNameCrcValues-2, 17000, 2023-01-23 13:18:33.995, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
