Id, Applied to Schema, Applied on Date, Applied to Server, Was Executed, Succeeded, Report
patch.syncSetDefinitionsContainer, 17000, 2023-01-23 13:18:34.086, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.migrateTenantsFromAttrsToTable, 17000, 2023-01-23 13:18:34.087, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.swsdpPatch, 17000, 2023-01-23 13:18:34.088, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.0-AclChangeSet2, 17000, 2023-01-23 13:18:34.089, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployParallelActivitiWorkflows, 17000, 2023-01-23 13:18:34.09, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-remove-redundant-jbpm-indexes, 17000, 2023-01-23 13:18:34.091, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.show.audit, 17000, 2023-01-23 13:18:34.092, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-increase-column-size-activiti, 17000, 2023-01-23 13:18:34.093, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypesSVG, 17000, 2023-01-23 13:18:34.095, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-NodeDeleted, 17000, 2023-01-23 13:18:34.096, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateMimetypesVISIO, 17000, 2023-01-23 13:18:34.097, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V3.4-JBPM-varinst-indexes, 17000, 2023-01-23 13:18:34.098, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-upgrade-to-activiti-5.10, 17000, 2023-01-23 13:18:34.1, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.emailAliasableAspect, 17000, 2023-01-23 13:18:34.1, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-add-activti-index-historic-activity, 17000, 2023-01-23 13:18:34.102, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-upgrade-to-activiti-5.11, 17000, 2023-01-23 13:18:34.103, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-drop-alfqname-fk-indexes, 17000, 2023-01-23 13:18:34.104, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.sharedFolder, 17000, 2023-01-23 13:18:34.105, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-remove-index-acl_id, 17000, 2023-01-23 13:18:34.105, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-drop-activiti-feed-format, 17000, 2023-01-23 13:18:34.107, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.calendarAllDayEventDatesCorrectingPatch, 17000, 2023-01-23 13:18:34.109, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-remove-old-index-act, 17000, 2023-01-23 13:18:34.11, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployActivitiWorkflowsForCategory, 17000, 2023-01-23 13:18:34.111, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-upgrade-to-activiti-5.13, 17000, 2023-01-23 13:18:34.112, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployParallelActivitiWorkflows-after-5-11-upgrade, 17000, 2023-01-23 13:18:34.112, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-fix-Repo-seqs-order, 17000, 2023-01-23 13:18:34.113, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-ChildAssoc-OrderBy, 17000, 2023-01-23 13:18:34.115, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-createIdxAlfNodeTQN, 17000, 2023-01-23 13:18:34.117, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-restructure-idx_alf_nprop_s-MSSQL, 17000, 2023-01-23 13:18:34.119, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.siteAdministrators, 17000, 2023-01-23 13:18:34.121, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.alfrescoSearchAdministrators, 17000, 2023-01-23 13:18:34.122, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.surfConfigFolder, 17000, 2023-01-23 13:18:34.123, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.renameSiteAuthorityDisplayName, 17000, 2023-01-23 13:18:34.124, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.1-update-activiti-nullable-columns, 17000, 2023-01-23 13:18:34.126, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.eol-wcmwf, 17000, 2023-01-23 13:18:34.127, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V4.2-migrate-locale-multilingual, 17000, 2023-01-23 13:18:34.129, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixWebscriptTemplate, 17000, 2023-01-23 13:18:34.13, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.imapSpacesTemplates3, 17000, 2023-01-23 13:18:34.131, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.addUnmovableAspect, 17000, 2023-01-23 13:18:34.132, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.deleteClassifibleAspectForFailedThumbnail, 17000, 2023-01-23 13:18:34.133, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.downloadsFolder, 17000, 2023-01-23 13:18:34.134, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixPersonSizeCurrentType, 17000, 2023-01-23 13:18:34.135, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.alfrescoModelAdministrators, 17000, 2023-01-23 13:18:34.137, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.addInviteAddDirectEmailTemplates, 17000, 2023-01-23 13:18:34.138, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.imapSpacesTemplates4, 17000, 2023-01-23 13:18:34.139, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.addSurfConfigFolders, 17000, 2023-01-23 13:18:34.141, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.spacesBootstrapSmartTemplatesFolder, 17000, 2023-01-23 13:18:34.142, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.spacesBootstrapSmartFolderExample, 17000, 2023-01-23 13:18:34.143, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.spacesBootstrapSmartDownloadFolder, 17000, 2023-01-23 13:18:34.144, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-v4.2-migrate-activiti-workflows, 17000, 2023-01-23 13:18:34.149, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployInvitationNominatedAddDirectActivitiWorkflow, 17000, 2023-01-23 13:18:34.151, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateAdminUserWhenDefault, 17000, 2023-01-23 13:18:34.152, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.addInviteModeratedEmailTemplates, 17000, 2023-01-23 13:18:34.153, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.redeployInvitationModeratedActivitiWorkflow, 17000, 2023-01-23 13:18:34.154, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.db-V6.0-change-set-indexes, 17000, 2023-01-23 13:18:34.155, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.alfrescoSystemAdministrators, 17000, 2023-01-23 13:18:34.157, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.exampleJavaScript, 17000, 2023-01-23 13:18:34.184, 7.3.0 (ra2f0155d-b6233) - Enterprise, t, t, Imported view into bootstrap location: /app:company_home/app:dictionary/app:scripts (workspace://SpacesStore/fb06c78d-8ed0-4041-af41-48957de5c206)
patch.siteLoadPatch.swsdp, 17000, 2023-01-23 13:18:36.397, 7.3.0 (ra2f0155d-b6233) - Enterprise, t, t, Site swsdp imported.
