Content Model URI, Property
http://www.alfresco.org/model/content/1.0, templatable
http://www.alfresco.org/model/content/1.0, template
http://www.alfresco.org/model/content/1.0, thumbnail
http://www.alfresco.org/model/content/1.0, thumbnailModification
http://www.alfresco.org/model/content/1.0, thumbnailName
http://www.alfresco.org/model/content/1.0, title
http://www.alfresco.org/model/content/1.0, titled
http://www.alfresco.org/model/content/1.0, updated
http://www.alfresco.org/model/content/1.0, userAccountStatusProperty
http://www.alfresco.org/model/content/1.0, userName
http://www.alfresco.org/model/content/1.0, userStatus
http://www.alfresco.org/model/content/1.0, userStatusTime
http://www.alfresco.org/model/content/1.0, versionable
http://www.alfresco.org/model/content/1.0, versionLabel
http://www.alfresco.org/model/content/1.0, versionType
http://www.alfresco.org/model/content/1.0, workingcopy
http://www.alfresco.org/model/content/1.0, workingCopyLabel
http://www.alfresco.org/model/content/1.0, workingcopylink
http://www.alfresco.org/model/content/1.0, workingCopyOwner
http://www.alfresco.org/model/content/1.0, zone
http://www.alfresco.org/model/content/smartfolder/1.0, smartFolderTemplate
http://www.alfresco.org/model/datalist/1.0, attachments
http://www.alfresco.org/model/datalist/1.0, dataList
http://www.alfresco.org/model/datalist/1.0, dataListItemType
http://www.alfresco.org/model/datalist/1.0, issue
http://www.alfresco.org/model/datalist/1.0, issueComments
http://www.alfresco.org/model/datalist/1.0, issueDueDate
http://www.alfresco.org/model/datalist/1.0, issueID
http://www.alfresco.org/model/datalist/1.0, issuePriority
http://www.alfresco.org/model/datalist/1.0, issueStatus
http://www.alfresco.org/model/datalist/1.0, todoDueDate
http://www.alfresco.org/model/datalist/1.0, todoList
http://www.alfresco.org/model/datalist/1.0, todoNotes
http://www.alfresco.org/model/datalist/1.0, todoPriority
http://www.alfresco.org/model/datalist/1.0, todoStatus
http://www.alfresco.org/model/datalist/1.0, todoTitle
http://www.alfresco.org/model/emailserver/1.0, alias
http://www.alfresco.org/model/emailserver/1.0, aliasable
http://www.alfresco.org/model/exif/1.0, dateTimeOriginal
http://www.alfresco.org/model/exif/1.0, exif
http://www.alfresco.org/model/exif/1.0, exposureTime
http://www.alfresco.org/model/exif/1.0, flash
http://www.alfresco.org/model/exif/1.0, fNumber
http://www.alfresco.org/model/exif/1.0, focalLength
http://www.alfresco.org/model/exif/1.0, isoSpeedRatings
http://www.alfresco.org/model/exif/1.0, manufacturer
http://www.alfresco.org/model/exif/1.0, model
http://www.alfresco.org/model/exif/1.0, orientation
http://www.alfresco.org/model/exif/1.0, pixelXDimension
