Database Tables Information
Table Name, Total Size, Row Estimate, Table Size, Index Size
alf_store, 0.05, 6, 0.02, 0.03 
alf_mimetype, 0.03, 14, 0.02, 0.02 
ACT_HI_IDENTITYLINK, 0.02, 0, 0.02, 0.00 
ACT_PROCDEF_INFO, 0.05, 0, 0.02, 0.03 
JBPM_EVENT, 0.08, 0, 0.02, 0.06 
alf_access_control_entry, 0.08, 19, 0.02, 0.06 
alf_content_url_encryption, 0.05, 0, 0.02, 0.03 
alf_prop_value, 0.05, 57, 0.02, 0.03 
ACT_RU_TASK, 0.08, 0, 0.02, 0.06 
JBPM_TASK, 0.13, 0, 0.02, 0.11 
alf_authority_alias, 0.06, 0, 0.02, 0.05 
alf_lock_resource, 0.03, 9, 0.02, 0.02 
ACT_HI_DETAIL, 0.02, 0, 0.02, 0.00 
ACT_ID_USER, 0.02, 0, 0.02, 0.00 
JBPM_DELEGATION, 0.03, 0, 0.02, 0.02 
ACT_RU_VARIABLE, 0.08, 0, 0.02, 0.06 
alf_prop_unique_ctx, 0.08, 14, 0.02, 0.06 
ACT_RU_JOB, 0.03, 0, 0.02, 0.02 
JBPM_SWIMLANEINSTANCE, 0.05, 0, 0.02, 0.03 
alf_server, 0.03, 0, 0.02, 0.02 
ACT_RU_IDENTITYLINK, 0.09, 0, 0.02, 0.08 
JBPM_SWIMLANE, 0.05, 0, 0.02, 0.03 
alf_qname, 0.03, 237, 0.02, 0.02 
alf_authority, 0.05, 11, 0.02, 0.03 
alf_lock, 0.05, 9, 0.02, 0.03 
ACT_HI_COMMENT, 0.02, 0, 0.02, 0.00 
ACT_ID_MEMBERSHIP, 0.03, 0, 0.02, 0.02 
JBPM_DECISIONCONDITIONS, 0.03, 0, 0.02, 0.02 
ACT_RU_TASK, 0.08, 0, 0.02, 0.06 
alf_prop_unique_ctx, 0.08, 14, 0.02, 0.06 
JBPM_RUNTIMEACTION, 0.05, 0, 0.02, 0.03 
alf_auth_status, 0.06, 0, 0.02, 0.05 
alf_locale, 0.03, 4, 0.02, 0.02 
